gender,age,married,number_of_dependents,zip_code,population,tenure_in_months,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,paperless_billing,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,churn_label,cltv,internet_type_DSL,internet_type_Fiber Optic,internet_type_No Internet,contract_One Year,contract_Two Year,payment_method_Credit Card,payment_method_Mailed Check
1,78,0,0,90022,68701,1,0,0.0,0,1,8,0,0,1,0,0,1,0,0,1,39.65,39.65,0.0,20,0.0,59.65,3,1,5433,True,False,False,False,False,False,False
0,74,1,1,90063,55668,8,1,48.85,1,1,17,0,1,0,0,0,0,0,1,1,80.65,633.3,0.0,0,390.8,1024.1,3,1,5302,False,True,False,False,False,True,False
1,71,0,3,90065,47534,18,1,11.33,1,1,52,0,0,0,0,1,1,1,1,1,95.45,1752.55,45.61,0,203.94,1910.88,2,1,3179,False,True,False,False,False,False,False
0,78,1,1,90303,27778,25,1,19.76,0,1,12,0,1,1,0,1,1,0,1,1,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,1,5337,False,True,False,False,False,False,False
0,80,1,1,90602,26265,37,1,6.33,1,1,14,0,0,0,0,0,0,0,1,1,76.5,2868.15,0.0,0,234.21,3102.36,2,1,2793,False,True,False,False,False,False,False
0,72,0,1,90660,63288,27,1,3.33,1,1,18,0,0,1,0,0,0,0,0,1,78.05,2135.5,0.0,10,89.91,2235.41,1,1,4638,False,True,False,False,False,False,False
0,76,1,2,90720,21343,1,1,15.28,0,1,30,0,0,0,0,0,0,0,1,1,70.45,70.45,0.0,0,15.28,85.73,2,1,3964,False,True,False,False,False,False,True
1,66,1,0,91024,10558,58,0,0.0,0,1,24,0,1,1,0,0,1,0,1,1,45.3,2651.2,40.95,0,0.0,2610.25,1,1,5444,True,False,False,False,False,False,False
0,70,0,2,91106,23742,15,1,44.07,1,1,19,0,0,0,0,0,0,0,1,1,74.45,1145.7,0.0,0,661.05,1806.75,2,1,5717,False,True,False,False,False,False,True
0,77,0,2,91107,32369,7,1,26.95,0,1,18,1,0,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,681.2,2,1,4419,False,True,False,False,False,False,False
0,78,0,1,91605,57146,11,1,11.59,0,1,29,0,1,0,0,1,1,0,0,1,95.0,1120.3,0.0,120,127.49,1367.79,1,1,5980,False,True,False,False,False,False,False
1,65,0,0,91722,33817,15,1,29.11,0,1,29,0,1,0,0,0,0,0,1,1,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,1,4616,False,True,False,False,False,False,False
1,77,1,0,91732,62660,1,0,0.0,0,1,12,0,1,0,0,1,0,0,1,0,40.2,40.2,0.0,0,0.0,40.2,2,1,5828,True,False,False,False,False,False,False
1,67,0,0,91746,30802,3,0,0.0,0,1,28,0,0,1,0,0,1,1,1,1,41.15,132.2,0.0,0,0.0,132.2,2,1,2314,True,False,False,False,False,False,False
1,68,0,0,91748,46342,13,1,32.68,1,1,11,0,1,1,0,1,1,0,0,1,106.9,1364.3,0.0,10,424.84,1799.14,1,1,2494,False,False,False,False,False,False,False
0,68,0,0,91764,49474,16,1,9.43,0,1,9,0,0,0,1,1,1,1,1,1,94.45,1511.2,0.0,0,150.88,1662.08,1,1,3810,False,True,False,False,False,False,False
1,66,0,0,91901,16486,8,1,1.78,0,1,7,0,1,0,0,0,0,0,1,1,74.5,606.55,0.0,0,14.24,620.79,2,1,4345,False,True,False,False,False,False,False
1,69,0,0,92122,34902,24,1,30.87,1,1,15,0,0,0,0,0,0,0,1,1,76.1,1712.7,0.0,0,740.88,2453.58,2,1,2018,False,True,False,False,False,False,False
0,74,0,0,92122,34902,4,1,31.61,1,1,2,0,0,0,0,1,1,0,1,1,95.45,396.1,0.0,0,126.44,522.54,3,1,3677,False,True,False,False,False,False,False
1,76,1,0,92122,34902,32,1,47.34,1,1,10,0,0,0,0,0,0,0,1,1,74.9,2303.35,0.0,0,1514.88,3818.23,2,1,4105,False,True,False,False,False,False,False
1,77,1,0,92122,34902,24,1,16.1,0,1,12,0,0,1,0,1,1,1,1,1,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,1,2212,False,False,False,False,False,False,False
0,70,0,0,92122,34902,54,1,12.08,1,1,5,1,1,0,1,1,1,1,1,0,82.45,4350.1,0.0,0,652.32,5002.42,1,1,4149,True,False,False,True,False,False,False
0,74,0,0,92122,34902,2,1,13.17,0,1,10,0,0,0,0,0,0,0,1,1,70.35,139.05,0.0,0,26.34,165.39,3,1,2671,False,True,False,False,False,False,False
0,77,0,0,92122,34902,21,0,0.0,0,1,8,1,0,0,0,1,0,0,1,1,41.9,840.1,0.0,0,0.0,840.1,1,1,4778,False,False,False,False,False,False,False
1,71,1,0,92122,34902,27,0,0.0,0,1,13,1,0,0,0,0,0,0,0,0,30.75,805.1,0.0,140,0.0,945.1,1,1,2927,False,False,False,False,False,True,False
1,79,1,0,92122,34902,11,1,29.54,0,0,0,0,0,0,0,0,0,0,0,0,19.95,214.75,0.0,0,324.94,539.69,1,1,5888,False,False,True,False,False,False,True
0,66,1,0,92122,34902,55,1,42.82,1,1,27,0,1,1,0,0,0,0,0,1,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,1,5502,False,True,False,False,False,False,False
1,77,0,0,92122,34902,3,1,9.22,1,1,14,0,1,0,0,0,0,0,1,1,81.35,233.7,0.0,0,27.660000000000004,261.36,1,1,2818,False,True,False,False,False,False,False
0,80,0,0,92274,17018,1,1,35.09,0,1,17,0,0,1,0,0,0,0,0,1,75.3,75.3,0.0,20,35.09,130.39,2,1,4902,False,True,False,False,False,False,False
