gender,age,married,number_of_dependents,zip_code,population,tenure_in_months,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,paperless_billing,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,cltv,internet_type_DSL,internet_type_Fiber Optic,internet_type_No Internet,contract_One Year,contract_Two Year,payment_method_Credit Card,payment_method_Mailed Check,churn_label
1,43,0,0,96058,816,16,1,5.79,1,1,4,0,1,0,0,0,0,0,1,0,55.3,875.35,0.0,0,92.64,967.99,5,3771,True,False,False,False,False,False,False,0
0,62,0,2,94134,40137,12,1,16.96,1,1,18,0,1,1,0,1,1,1,1,1,105.3,1275.65,0.0,0,203.52,1479.17,3,5913,False,True,False,False,False,False,False,0
1,32,0,0,95379,3979,1,1,49.19,0,1,17,0,0,0,1,0,0,0,1,0,49.0,49.0,0.0,0,49.19,98.19,3,5289,True,False,False,False,False,True,False,0
0,24,1,0,90262,69850,58,1,26.99,1,1,53,1,0,0,1,0,1,1,1,1,68.4,3972.25,0.0,0,1565.4199999999998,5537.67,3,5269,False,False,False,True,False,False,False,0
0,49,1,3,90003,58198,3,1,19.18,0,1,22,0,1,0,1,0,0,0,1,1,80.0,241.3,0.0,0,57.54,298.84000000000003,3,4264,False,True,False,False,False,False,False,0
0,29,0,1,92234,43141,1,0,0.0,0,1,48,0,0,0,0,0,0,0,0,0,24.7,24.7,0.0,70,0.0,94.7,5,3065,False,False,False,False,False,True,False,0
0,33,1,1,92114,66838,28,1,41.41,1,1,30,0,0,0,0,0,0,0,1,0,49.9,1410.25,0.0,0,1159.48,2569.73,5,5250,True,False,False,False,False,True,False,0
0,73,1,0,95903,5654,69,1,19.39,1,1,13,0,1,0,1,1,1,1,1,0,105.4,6998.95,0.0,0,1337.91,8336.86,4,5467,False,True,False,False,True,True,False,0
1,64,0,0,92886,39458,35,1,20.39,1,1,21,1,0,0,0,0,0,0,1,0,55.25,1924.1,0.0,0,713.65,2637.75,3,5498,True,False,False,False,True,True,False,0
1,40,0,0,96027,2156,39,0,0.0,0,1,13,1,0,0,1,1,0,0,1,0,45.05,1790.6,0.0,0,0.0,1790.6,3,4003,True,False,False,True,False,False,False,0
1,56,1,3,92113,47431,13,1,28.15,0,1,56,0,1,1,1,0,0,0,1,0,61.8,750.1,0.0,0,365.95,1116.05,3,4749,False,False,False,False,False,False,False,0
0,62,0,0,92037,42617,28,0,0.0,0,1,2,0,0,1,1,0,0,0,1,1,35.75,961.4,0.0,0,0.0,961.4,4,2431,True,False,False,False,False,False,True,0
0,39,1,2,90808,37417,30,1,47.21,1,0,0,0,0,0,0,0,0,0,0,1,25.1,789.55,15.41,0,1416.3,2190.44,3,5851,False,False,True,False,True,True,False,0
1,20,0,1,92507,48649,6,1,17.53,0,0,0,0,0,0,0,0,0,0,0,0,19.55,128.6,0.0,0,105.18,233.78,4,2309,False,False,True,False,False,True,False,0
0,46,1,0,94044,38885,12,1,25.09,1,1,17,1,0,1,0,1,1,1,1,0,78.85,876.75,0.0,0,301.08,1177.83,3,2495,False,False,False,True,False,False,False,0
1,46,0,1,93518,1022,6,1,27.78,0,0,0,0,0,0,0,0,0,0,0,0,19.7,111.65,0.0,0,166.68,278.33000000000004,3,2276,False,False,True,False,False,False,True,0
0,52,1,0,91423,29387,68,1,7.87,1,1,4,1,1,0,0,0,0,0,1,1,84.7,5711.05,0.0,0,535.16,6246.21,3,5520,False,True,False,False,True,False,False,0
1,77,1,0,93634,52,50,1,40.9,1,1,8,1,0,1,0,1,1,1,1,1,105.05,5163.3,0.0,0,2045.0,7208.3,4,5324,False,True,False,False,True,True,False,0
1,71,1,0,90241,40152,64,1,16.33,1,1,10,1,0,1,1,1,1,0,1,1,111.6,7099.0,0.0,0,1045.12,8144.12,4,4881,False,True,False,False,True,False,False,0
0,30,1,0,94015,63337,62,1,15.06,1,1,82,0,0,1,0,1,1,1,1,1,101.35,6164.7,0.0,0,933.72,7098.42,5,5049,False,True,False,False,False,False,False,0
0,30,1,0,95345,433,19,1,45.37,1,1,52,0,1,0,0,0,1,1,1,1,89.1,1620.8,0.0,0,862.03,2482.83,5,3624,False,True,False,False,False,False,False,0
1,54,0,0,95236,3148,69,1,17.74,0,0,0,0,0,0,0,0,0,0,0,1,19.3,1447.9,0.0,0,1224.06,2671.96,5,5028,False,False,True,False,True,False,False,0
1,29,0,0,96062,830,16,1,48.45,0,1,59,0,0,0,1,0,0,0,1,1,49.45,799.0,0.0,0,775.2,1574.2,4,3446,True,False,False,False,False,True,False,0
1,36,0,0,92003,3849,54,1,7.64,1,1,3,0,1,0,0,0,0,0,1,1,79.85,4308.25,0.0,0,412.56,4720.81,4,5166,False,True,False,False,False,False,False,0
